TAXONOMY	Domain	Phylum	Class	Order	Family	Genus	Species
Otu165	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_sobrinus
Otu172							
Otu170	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	uncultured_bacterium
Otu169	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia	Alloscardovia_omnicolens
Otu171	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	TM7x	uncultured_bacterium
Otu173	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	uncultured_bacterium
Otu176	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	uncultured_Treponema
Otu175	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	uncultured_Bacteroidetes
Otu174	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	uncultured_bacterium
Otu180							
Otu182							
Otu177	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Cryptobacterium	Cryptobacterium_curtum
Otu178	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Moryella	Moryella_indoligenes
Otu184							
Otu179	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family_XI	Anaerococcus	
Otu181	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	uncultured_bacterium
Otu183	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	
Otu185							
Otu186	Eukaryota	Vertebrata	Mammalia	Mammalia	Mammalia	Mammalia	Homo_sapiens
Otu188	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
Otu193							
Otu189	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Eggerthia	Eggerthia_catenaformis
Otu187	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	
Otu190	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	Veillonella_montpellierensis
Otu192	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	uncultured_bacterium
Otu191	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	
Otu194	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonas	
Otu196	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		
Otu195	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii
Otu198	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	uncultured_bacterium
Otu199	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	DNF00809	Coriobacteriales_bacterium
Otu197	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
Otu201	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	
Otu200	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Eubacterium_yurii_group	uncultured_bacterium
Otu203							
Otu202	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	uncultured_bacterium
Otu204	Bacteria	Firmicutes	Bacilli	RF39	RF39	RF39	uncultured_bacterium
Otu205	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
Otu206	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylobacillus	
Otu210	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales	Saccharimonadales	uncultured_bacterium
Otu207	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Cardiobacterium	uncultured_bacterium
Otu209	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Peptoanaerobacter	Peptoanaerobacter_stomatis
